epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,488.418,0.97006,1.46557,0.87077,1.11411,0.75073,0.75502,0.7623,0.53046,0.67871,0.64257,0.62603,0.20479,1.10319,1.22468,1.10802,1.12966,0.008911,0.008911,0.008911
24,509.211,0.96226,1.45927,0.87489,1.11564,0.83646,0.72691,0.76915,0.547,0.75229,0.63422,0.62841,0.2034,1.11531,1.26197,1.09656,1.15256,0.0088615,0.0088615,0.0088615
25,529.99,0.93254,1.4438,0.8463,1.10467,0.81484,0.6747,0.72604,0.477,0.71799,0.57831,0.55815,0.16935,1.25267,1.23276,1.14431,1.21424,0.008812,0.008812,0.008812
26,550.763,0.93908,1.45344,0.84973,1.09537,0.76172,0.71893,0.76289,0.54204,0.64057,0.59036,0.56879,0.18669,1.10052,1.2379,1.1055,1.14619,0.0087625,0.0087625,0.0087625
27,571.617,0.94006,1.45892,0.84194,1.10132,0.79593,0.70281,0.7431,0.54115,0.71919,0.63855,0.62576,0.20817,1.06204,1.22427,0.97231,1.06824,0.008713,0.008713,0.008713
28,592.383,0.93379,1.43366,0.83067,1.09746,0.81791,0.73962,0.7895,0.5546,0.72987,0.62938,0.61556,0.20107,1.12861,1.24114,1.00166,1.13473,0.0086635,0.0086635,0.0086635
29,613.181,0.92438,1.44242,0.81517,1.08893,0.80451,0.74297,0.7626,0.52419,0.72971,0.64659,0.60607,0.18924,1.08632,1.20632,1.03969,1.08619,0.008614,0.008614,0.008614
30,634.023,0.92677,1.43643,0.82951,1.09491,0.82781,0.72289,0.78184,0.53727,0.72961,0.62651,0.62083,0.19234,1.05671,1.2065,1.05197,1.09251,0.0085645,0.0085645,0.0085645
31,654.79,0.91355,1.42738,0.82272,1.09107,0.79724,0.69478,0.7433,0.54364,0.68836,0.60643,0.57575,0.19828,1.0428,1.24425,1.00369,1.07118,0.008515,0.008515,0.008515
32,675.567,0.92262,1.43122,0.83144,1.09306,0.76155,0.75677,0.77317,0.5462,0.66551,0.63925,0.59801,0.19827,1.06396,1.21157,1.05695,1.08159,0.0084655,0.0084655,0.0084655
33,696.414,0.92486,1.41497,0.82425,1.09688,0.79508,0.69076,0.77046,0.56681,0.61966,0.65863,0.61014,0.20839,1.0111,1.25942,1.04709,1.05159,0.008416,0.008416,0.008416
34,717.219,0.90055,1.41232,0.81756,1.08281,0.83392,0.68675,0.75891,0.53717,0.65212,0.64257,0.59239,0.18529,1.03755,1.20386,1.03012,1.08677,0.0083665,0.0083665,0.0083665
35,738.005,0.91657,1.42557,0.82777,1.08734,0.8487,0.71486,0.77766,0.55834,0.73397,0.63156,0.6007,0.18737,1.08581,1.24211,1.00737,1.09927,0.008317,0.008317,0.008317
36,758.842,0.90257,1.43882,0.80775,1.07768,0.78533,0.7199,0.75679,0.55722,0.69044,0.63454,0.59816,0.19764,1.08336,1.23452,1.0342,1.11272,0.0082675,0.0082675,0.0082675
37,779.627,0.89065,1.40113,0.78651,1.07874,0.79845,0.73185,0.77901,0.56404,0.70627,0.64699,0.62559,0.19031,1.07951,1.23232,1.01603,1.07742,0.008218,0.008218,0.008218
38,800.412,0.90272,1.40978,0.80881,1.08039,0.84092,0.72179,0.79525,0.56656,0.76138,0.65352,0.6497,0.20565,1.02412,1.23487,0.94782,1.06147,0.0081685,0.0081685,0.0081685
39,821.192,0.89523,1.4256,0.79807,1.07261,0.80772,0.71888,0.78492,0.56176,0.71421,0.60643,0.60087,0.20217,1.09762,1.22522,0.98029,1.11125,0.008119,0.008119,0.008119
40,842.026,0.89629,1.42674,0.78453,1.07799,0.78417,0.72289,0.7756,0.56435,0.66557,0.60643,0.59669,0.20027,1.11711,1.22775,1.02603,1.12572,0.0080695,0.0080695,0.0080695
41,862.784,0.88654,1.38836,0.79679,1.0774,0.87368,0.69076,0.8023,0.58049,0.76851,0.63454,0.65934,0.21768,1.03855,1.1914,1.01286,1.04749,0.00802,0.00802,0.00802
42,883.548,0.89355,1.40742,0.78914,1.07763,0.80266,0.71084,0.79072,0.57273,0.73226,0.63708,0.6586,0.21058,1.08226,1.19567,0.99239,1.07515,0.0079705,0.0079705,0.0079705
43,904.564,0.86846,1.40825,0.77445,1.06076,0.83768,0.70281,0.76642,0.56488,0.72108,0.59182,0.6055,0.20765,0.9868,1.24063,0.96314,1.05076,0.007921,0.007921,0.007921
44,925.905,0.87748,1.39653,0.76225,1.06799,0.79894,0.73407,0.75387,0.56186,0.75901,0.63855,0.63895,0.22005,1.0119,1.23459,0.99426,1.05019,0.0078715,0.0078715,0.0078715
45,947.294,0.89736,1.43837,0.78524,1.07862,0.80425,0.70683,0.77913,0.56572,0.72265,0.62783,0.62888,0.20923,1.05852,1.23853,0.98773,1.0728,0.007822,0.007822,0.007822
46,968.722,0.85694,1.38183,0.75069,1.05808,0.81126,0.74229,0.79289,0.59572,0.76786,0.63855,0.6492,0.20899,0.94414,1.23486,0.91236,1.02915,0.0077725,0.0077725,0.0077725
47,990.132,0.87934,1.41061,0.76497,1.06642,0.84934,0.73494,0.80714,0.59584,0.76803,0.63855,0.66229,0.22373,0.9826,1.26827,0.91576,1.03546,0.007723,0.007723,0.007723
48,1011.55,0.87506,1.40294,0.75614,1.06588,0.83131,0.73231,0.79318,0.59998,0.73296,0.6747,0.64923,0.21641,0.98918,1.22271,0.93704,1.03046,0.0076735,0.0076735,0.0076735
49,1032.95,0.85271,1.39828,0.73467,1.05203,0.83375,0.73896,0.79444,0.5937,0.7332,0.63454,0.63665,0.21626,1.00034,1.31003,0.96358,1.03509,0.007624,0.007624,0.007624
50,1054.42,0.86714,1.40538,0.75163,1.06518,0.75656,0.77384,0.79042,0.56287,0.7448,0.63454,0.65088,0.20575,1.0125,1.24862,0.96744,1.05128,0.0075745,0.0075745,0.0075745
51,1075.84,0.86425,1.41744,0.75457,1.06045,0.83676,0.73896,0.81293,0.58362,0.7481,0.63454,0.64636,0.21009,1.0105,1.24849,0.9404,1.08121,0.007525,0.007525,0.007525
52,1097.22,0.86443,1.39423,0.74692,1.05459,0.83009,0.72691,0.7687,0.58137,0.71732,0.62651,0.59447,0.20745,1.00389,1.26324,0.91814,1.06035,0.0074755,0.0074755,0.0074755
53,1118.64,0.86282,1.39503,0.73919,1.05854,0.83282,0.75502,0.80629,0.61187,0.72672,0.69076,0.67995,0.22278,0.98823,1.25641,0.94198,1.06049,0.007426,0.007426,0.007426
54,1140.04,0.8394,1.37995,0.73574,1.05439,0.88522,0.71238,0.80206,0.59271,0.81002,0.65069,0.66834,0.21158,1.04179,1.25896,0.94103,1.09057,0.0073765,0.0073765,0.0073765
55,1161.42,0.84766,1.39254,0.725,1.05087,0.85632,0.71888,0.79997,0.60614,0.7211,0.65418,0.64856,0.21254,0.9655,1.26676,0.93825,1.03626,0.007327,0.007327,0.007327
56,1182.88,0.83311,1.36598,0.70134,1.04139,0.85761,0.70281,0.7815,0.58748,0.75076,0.61847,0.64663,0.22034,0.9644,1.22816,0.91969,1.03179,0.0072775,0.0072775,0.0072775
57,1204.25,0.84621,1.37403,0.73096,1.05068,0.87177,0.70989,0.80222,0.60777,0.76775,0.62651,0.6373,0.22204,0.97902,1.2163,0.9176,1.02407,0.007228,0.007228,0.007228
58,1225.63,0.83207,1.35644,0.71313,1.04129,0.84922,0.70683,0.78399,0.5811,0.76208,0.63454,0.63998,0.21137,1.0275,1.26514,0.92825,1.06253,0.0071785,0.0071785,0.0071785
59,1247.01,0.82997,1.34522,0.72099,1.03825,0.82126,0.73812,0.79932,0.58979,0.71866,0.64257,0.64459,0.21566,0.97367,1.19819,0.89901,1.03877,0.007129,0.007129,0.007129
60,1268.45,0.82783,1.37234,0.71371,1.04408,0.85465,0.75569,0.80854,0.61083,0.78509,0.66021,0.66297,0.22141,0.94945,1.20708,0.88422,1.01943,0.0070795,0.0070795,0.0070795
61,1289.81,0.83334,1.35723,0.71068,1.04645,0.8552,0.75901,0.80714,0.59858,0.78036,0.6747,0.6627,0.21375,0.9462,1.21493,0.89677,1.02319,0.00703,0.00703,0.00703
62,1311.17,0.82947,1.35926,0.6949,1.04221,0.81249,0.751,0.79114,0.5901,0.74344,0.64007,0.63356,0.21738,0.9762,1.24013,0.93568,1.0057,0.0069805,0.0069805,0.0069805
63,1332.62,0.80699,1.34659,0.69119,1.03301,0.81274,0.7751,0.80568,0.60909,0.76181,0.6988,0.68227,0.21933,0.93969,1.2361,0.89298,0.99102,0.006931,0.006931,0.006931
