epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3401,1.23151,2.11601,1.8385,1.27587,0.74737,0.67722,0.69205,0.34634,0.65573,0.59036,0.51432,0.1563,1.67815,1.31311,1.40408,1.36228,0.00331903,0.00331903,0.00331903
2,51.4364,1.12958,1.56761,1.08337,1.16832,0.58948,0.60551,0.52914,0.25901,0.4473,0.46185,0.31516,0.08968,1.65615,1.32037,1.59363,1.43336,0.00661943,0.00661943,0.00661943
3,72.3096,1.2407,1.59042,1.21939,1.21852,0.57896,0.56225,0.50111,0.24319,0.46466,0.42972,0.31644,0.09226,1.76844,1.48372,1.81587,1.64902,0.00988684,0.00988684,0.00988684
4,93.1616,1.31422,1.63746,1.27413,1.26762,0.55681,0.52475,0.50823,0.22829,0.40921,0.50602,0.33647,0.08975,1.78309,1.31904,2.05049,1.57456,0.0098515,0.0098515,0.0098515
5,113.923,1.25781,1.60106,1.20189,1.24514,0.59621,0.60241,0.54832,0.28249,0.5234,0.56627,0.41872,0.11898,1.69333,1.30564,1.5389,1.46867,0.009802,0.009802,0.009802
6,134.697,1.20808,1.57915,1.15281,1.23014,0.61386,0.65863,0.60657,0.33892,0.52527,0.55991,0.44213,0.13807,1.58249,1.29829,1.55329,1.43258,0.0097525,0.0097525,0.0097525
7,155.545,1.191,1.58417,1.13577,1.21911,0.58057,0.64257,0.60316,0.30507,0.506,0.54711,0.45516,0.14018,1.69571,1.27872,1.53249,1.54358,0.009703,0.009703,0.009703
8,176.315,1.145,1.56897,1.08171,1.20033,0.70641,0.67068,0.65439,0.38213,0.6129,0.57028,0.48209,0.14665,1.50071,1.34304,1.3831,1.39928,0.0096535,0.0096535,0.0096535
9,197.124,1.12929,1.55819,1.07481,1.19671,0.67996,0.67406,0.64776,0.39766,0.59179,0.56475,0.49228,0.14905,1.42614,1.2962,1.32304,1.3107,0.009604,0.009604,0.009604
10,217.912,1.10442,1.54301,1.02818,1.18004,0.75212,0.66265,0.68899,0.40839,0.65798,0.5743,0.52611,0.15953,1.4518,1.25749,1.27304,1.38715,0.0095545,0.0095545,0.0095545
11,238.801,1.07983,1.52666,1.00712,1.16746,0.80373,0.70718,0.72286,0.43897,0.67035,0.58635,0.51378,0.1655,1.34673,1.31276,1.19624,1.28001,0.009505,0.009505,0.009505
12,259.6,1.09204,1.52987,1.01971,1.17945,0.69813,0.71888,0.72378,0.47316,0.62551,0.59438,0.55535,0.17689,1.3236,1.22261,1.16883,1.24307,0.0094555,0.0094555,0.0094555
13,280.398,1.06612,1.55016,0.9827,1.16207,0.75024,0.65863,0.7019,0.45291,0.68894,0.56038,0.53951,0.17993,1.25456,1.23385,1.23517,1.1888,0.009406,0.009406,0.009406
14,301.251,1.05941,1.5073,0.98608,1.15358,0.71213,0.70537,0.69024,0.46433,0.62185,0.64257,0.56258,0.185,1.17731,1.22647,1.19218,1.145,0.0093565,0.0093565,0.0093565
15,322.043,1.04155,1.51005,0.9595,1.1509,0.7452,0.68675,0.71931,0.4664,0.61376,0.56627,0.48127,0.15565,1.25861,1.29681,1.22727,1.22784,0.009307,0.009307,0.009307
16,342.801,1.02422,1.49574,0.93801,1.14526,0.73637,0.69076,0.72094,0.45869,0.62824,0.61446,0.5465,0.16923,1.25532,1.23931,1.15276,1.22004,0.0092575,0.0092575,0.0092575
17,363.656,1.01913,1.48266,0.93831,1.13902,0.75526,0.66667,0.69584,0.46069,0.66704,0.56321,0.55376,0.16803,1.25029,1.25975,1.21181,1.20571,0.009208,0.009208,0.009208
18,384.433,1.02068,1.51677,0.94192,1.1455,0.76995,0.63855,0.684,0.44969,0.65776,0.52486,0.48171,0.15218,1.3015,1.84306,1.44059,1.25772,0.0091585,0.0091585,0.0091585
19,405.206,1.00506,1.51259,0.92467,1.13297,0.74682,0.71486,0.73256,0.4828,0.63707,0.59839,0.52793,0.16711,1.22524,1.27143,1.11744,1.14405,0.009109,0.009109,0.009109
20,426.043,0.99823,1.49606,0.90516,1.12834,0.72484,0.68273,0.70588,0.46757,0.66818,0.60643,0.5754,0.18107,1.24495,1.18932,1.15495,1.21317,0.0090595,0.0090595,0.0090595
21,446.8,0.98381,1.44527,0.88686,1.12619,0.7925,0.70683,0.76039,0.52618,0.62109,0.63454,0.56099,0.1837,1.07847,1.26144,1.04164,1.10672,0.00901,0.00901,0.00901
22,467.571,0.9804,1.47454,0.89098,1.11863,0.79785,0.67871,0.75148,0.5029,0.71939,0.60241,0.59991,0.18685,1.21655,1.26365,1.1245,1.16125,0.0089605,0.0089605,0.0089605
