epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,516.742,0.95651,1.46284,0.87985,1.09844,0.72531,0.72111,0.76656,0.5108,0.62205,0.61471,0.60263,0.2032,1.22185,1.2149,1.11379,1.1491,0.0085645,0.0085645,0.0085645
31,533.478,0.94505,1.44096,0.85513,1.10046,0.81809,0.67068,0.76169,0.52122,0.67753,0.5743,0.57066,0.18058,1.11635,1.19711,1.091,1.12935,0.008515,0.008515,0.008515
32,550.22,0.94565,1.46432,0.86172,1.0985,0.82702,0.70683,0.74854,0.51861,0.69905,0.59036,0.56105,0.17798,1.11375,1.25146,1.1325,1.1422,0.0084655,0.0084655,0.0084655
33,567.019,0.9548,1.44128,0.87273,1.10624,0.78439,0.73896,0.78326,0.52701,0.65717,0.62249,0.58751,0.18276,1.15938,1.20855,1.16366,1.19548,0.008416,0.008416,0.008416
34,583.798,0.94031,1.43299,0.85662,1.09714,0.8455,0.73896,0.79047,0.54894,0.71802,0.61446,0.57984,0.19394,1.08449,1.14841,1.0766,1.1263,0.0083665,0.0083665,0.0083665
35,600.509,0.9313,1.44895,0.84368,1.08799,0.86261,0.72289,0.76547,0.53832,0.80477,0.61253,0.61808,0.21121,1.09136,1.22601,1.07377,1.13281,0.008317,0.008317,0.008317
36,617.581,0.92123,1.44645,0.83652,1.08315,0.83689,0.72121,0.78037,0.53974,0.72316,0.61446,0.58975,0.20035,1.03448,1.19567,1.03412,1.1,0.0082675,0.0082675,0.0082675
37,634.312,0.93588,1.43858,0.84082,1.09548,0.80644,0.68601,0.7492,0.5284,0.73946,0.60411,0.60299,0.19837,1.12825,1.20457,1.12917,1.15798,0.008218,0.008218,0.008218
38,651.055,0.91537,1.44328,0.82319,1.08639,0.80641,0.71084,0.76552,0.53402,0.70986,0.61847,0.59423,0.20019,1.11388,1.19672,1.07903,1.09291,0.0081685,0.0081685,0.0081685
39,667.789,0.91571,1.41733,0.8358,1.09057,0.83458,0.74971,0.8101,0.58265,0.73004,0.61847,0.6281,0.20536,1.00176,1.23808,1.03514,1.05645,0.008119,0.008119,0.008119
